Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Country Code
Samoa,Age Dependency Ratio,73,,2020,% of working-age population,,SAM
Singapore,Age Dependency Ratio,35,,2020,% of working-age population,,SIN
Solomon Islands,Age Dependency Ratio,78,,2020,% of working-age population,,SOL
Sri Lanka,Age Dependency Ratio,54,,2020,% of working-age population,,SRI
"Taipei,China",Age Dependency Ratio,40,,2020,% of working-age population,,TAP
Tajikistan,Age Dependency Ratio,68,,2020,% of working-age population,,TAJ
Thailand,Age Dependency Ratio,42,,2020,% of working-age population,,THA
Timor-Leste,Age Dependency Ratio,70,,2020,% of working-age population,,TIM
Tonga,Age Dependency Ratio,69,,2020,% of working-age population,,TON
Turkmenistan,Age Dependency Ratio,55,,2020,% of working-age population,,TKM
Tuvalu,Age Dependency Ratio,77,¤,2021,% of working-age population,,TUV
Uzbekistan,Age Dependency Ratio,51,,2020,% of working-age population,,UZB
Vanuatu,Age Dependency Ratio,72,,2020,% of working-age population,,VAN
Viet Nam,Age Dependency Ratio,45,,2020,% of working-age population,,VIE
Afghanistan,Annual Change in Money Supply,12.1,,2020,%,,AFG
Armenia,Annual Change in Money Supply,13.1,,2021,%,,ARM
Azerbaijan,Annual Change in Money Supply,18.7,,2021,%,,AZE
Bangladesh,Annual Change in Money Supply,13.6,,2021,%,,BAN
Bhutan,Annual Change in Money Supply,27.7,,2020,%,,BHU
Brunei Darussalam,Annual Change in Money Supply,2.7,,2021,%,,BRU
Cambodia,Annual Change in Money Supply,16.3,,2021,%,,CAM
"China, People's Republic of",Annual Change in Money Supply,9,,2021,%,,PRC
Cook Islands,Annual Change in Money Supply,–6.6,,2021,%,,COO
Fiji,Annual Change in Money Supply,11.9,,2021,%,,FIJ
Georgia,Annual Change in Money Supply,11.3,,2021,%,,GEO
"Hong Kong, China",Annual Change in Money Supply,4.3,,2021,%,,HKG
India,Annual Change in Money Supply,8.7,,2021,%,,IND
Indonesia,Annual Change in Money Supply,13.9,,2021,%,,INO
Kazakhstan,Annual Change in Money Supply,20.8,,2021,%,,KAZ
Kiribati,Annual Change in Money Supply,…,,2021,%,,KIR
"Korea, Republic of",Annual Change in Money Supply,12.9,,2021,%,,KOR
Kyrgyz Republic,Annual Change in Money Supply,19.1,,2021,%,,KGZ
Lao People's Democratic Republic,Annual Change in Money Supply,24,,2021,%,,LAO
Malaysia,Annual Change in Money Supply,6.4,,2021,%,,MAL
Maldives,Annual Change in Money Supply,26.6,,2021,%,,MLD
Marshall Islands,Annual Change in Money Supply,…,,2021,%,,RMI
"Micronesia, Federated States of",Annual Change in Money Supply,…,,2021,%,,FSM
Mongolia,Annual Change in Money Supply,15,,2021,%,,MON
Myanmar,Annual Change in Money Supply,9.5,,2021,%,,MYA
Nauru,Annual Change in Money Supply,…,,2021,%,,NAU
Nepal,Annual Change in Money Supply,21.8,,2021,%,,NEP
Niue,Annual Change in Money Supply,…,,2021,%,,NIU
Pakistan,Annual Change in Money Supply,16.1,,2021,%,,PAK
Palau,Annual Change in Money Supply,…,,2021,%,,PAL
Papua New Guinea,Annual Change in Money Supply,7,,2020,%,,PNG
Philippines,Annual Change in Money Supply,7.3,,2021,%,,PHI
Samoa,Annual Change in Money Supply,–0.9,,2020,%,,SAM
Singapore,Annual Change in Money Supply,7.8,,2021,%,,SIN
Solomon Islands,Annual Change in Money Supply,3.4,,2021,%,,SOL
Sri Lanka,Annual Change in Money Supply,13.2,,2021,%,,SRI
"Taipei,China",Annual Change in Money Supply,7.3,,2021,%,,TAP
Tajikistan,Annual Change in Money Supply,12.3,,2021,%,,TAJ
Thailand,Annual Change in Money Supply,4.6,,2021,%,,THA
Timor-Leste,Annual Change in Money Supply,28.7,,2021,%,,TIM
Tonga,Annual Change in Money Supply,19.3,,2021,%,,TON
Turkmenistan,Annual Change in Money Supply,15.6,,2021,%,,TKM
Tuvalu,Annual Change in Money Supply,…,,2021,%,,TUV
Uzbekistan,Annual Change in Money Supply,30.3,,2021,%,,UZB
Vanuatu,Annual Change in Money Supply,7.2,,2021,%,,VAN
Viet Nam,Annual Change in Money Supply,10.7,,2021,%,,VIE
Afghanistan,"Annual Growth Rate of GDP



",–2.4,,2020,%,,AFG
Armenia,"Annual Growth Rate of GDP



",5.7,,2021,%,,ARM
Azerbaijan,"Annual Growth Rate of GDP



",5.6,,2021,%,,AZE
Bangladesh,"Annual Growth Rate of GDP



",6.9,,2021,%,,BAN
Bhutan,"Annual Growth Rate of GDP



",3.5,,2021,%,,BHU
Brunei Darussalam,"Annual Growth Rate of GDP



",–1.5,,2021,%,,BRU
Cambodia,"Annual Growth Rate of GDP



",3,,2021,%,,CAM
"China, People's Republic of","Annual Growth Rate of GDP



",8.1,,2021,%,,PRC
Cook Islands,"Annual Growth Rate of GDP



",–29.1,,2021,%,,COO
Fiji,"Annual Growth Rate of GDP



",–4.1,,2021,%,,FIJ
Georgia,"Annual Growth Rate of GDP



",10.6,,2021,%,,GEO
"Hong Kong, China","Annual Growth Rate of GDP



",6.4,,2021,%,,HKG
India,"Annual Growth Rate of GDP



",8.9,,2021,%,,IND
Indonesia,"Annual Growth Rate of GDP



",3.7,,2021,%,,INO
Kazakhstan,"Annual Growth Rate of GDP



",4,,2021,%,,KAZ
Kiribati,"Annual Growth Rate of GDP



",1.5,,2021,%,,KIR
"Korea, Republic of","Annual Growth Rate of GDP



",4,,2021,%,,KOR
Kyrgyz Republic,"Annual Growth Rate of GDP



",3.6,,2021,%,,KGZ
Lao People's Democratic Republic,"Annual Growth Rate of GDP



",2.3,,2021,%,,LAO
Malaysia,"Annual Growth Rate of GDP



",3.1,,2021,%,,MAL
Maldives,"Annual Growth Rate of GDP



",31.6,,2021,%,,MLD
Marshall Islands,"Annual Growth Rate of GDP



",–3.3,,2021,%,,RMI
"Micronesia, Federated States of","Annual Growth Rate of GDP



",–1.2,,2021,%,,FSM
Mongolia,"Annual Growth Rate of GDP



",1.4,,2021,%,,MON
Myanmar,"Annual Growth Rate of GDP



",–18.4,,2021,%,,MYA
Nauru,"Annual Growth Rate of GDP



",1.5,,2021,%,,NAU
Nepal,"Annual Growth Rate of GDP



",2.3,,2021,%,,NEP
Niue,"Annual Growth Rate of GDP



",5.6,,2019,%,,NIU
Pakistan,"Annual Growth Rate of GDP



",5.6,,2021,%,,PAK
Palau,"Annual Growth Rate of GDP



",–17.1,,2021,%,,PAL
Papua New Guinea,"Annual Growth Rate of GDP



",1.3,,2021,%,,PNG
Philippines,"Annual Growth Rate of GDP



",5.6,,2021,%,,PHI
Samoa,"Annual Growth Rate of GDP



",–8.1,,2021,%,,SAM
Singapore,"Annual Growth Rate of GDP



",7.6,,2021,%,,SIN
Solomon Islands,"Annual Growth Rate of GDP



",–0.5,,2021,%,,SOL
Sri Lanka,"Annual Growth Rate of GDP



",3.7,,2021,%,,SRI
"Taipei,China","Annual Growth Rate of GDP



",6.4,,2021,%,,TAP
Tajikistan,"Annual Growth Rate of GDP



",9.2,,2021,%,,TAJ
Thailand,"Annual Growth Rate of GDP



",1.6,,2021,%,,THA
Timor-Leste,"Annual Growth Rate of GDP



",1.8,,2021,%,,TIM
Tonga,"Annual Growth Rate of GDP



",–3.0,,2021,%,,TON
Turkmenistan,"Annual Growth Rate of GDP



",5,,2021,%,,TKM
Tuvalu,"Annual Growth Rate of GDP



",1.5,,2021,%,,TUV
Uzbekistan,"Annual Growth Rate of GDP



",7.4,,2021,%,,UZB
Vanuatu,"Annual Growth Rate of GDP



",–1.0,,2021,%,,VAN
Viet Nam,"Annual Growth Rate of GDP



",2.6,,2021,%,,VIE
Afghanistan,Annual Growth Rate of Real GDP per Employed Person,6,,2021,%,8.2.1,AFG
Armenia,Annual Growth Rate of Real GDP per Employed Person,4.5,,2021,%,8.2.1,ARM
Azerbaijan,Annual Growth Rate of Real GDP per Employed Person,0.5,,2021,%,8.2.1,AZE
Bangladesh,Annual Growth Rate of Real GDP per Employed Person,2.3,,2021,%,8.2.1,BAN
Bhutan,Annual Growth Rate of Real GDP per Employed Person,–3.8,,2021,%,8.2.1,BHU
Brunei Darussalam,Annual Growth Rate of Real GDP per Employed Person,0.9,,2021,%,8.2.1,BRU
Cambodia,Annual Growth Rate of Real GDP per Employed Person,0.3,,2021,%,8.2.1,CAM
"China, People's Republic of",Annual Growth Rate of Real GDP per Employed Person,7.6,,2021,%,8.2.1,PRC
Cook Islands,Annual Growth Rate of Real GDP per Employed Person,…,,2021,%,8.2.1,COO
Fiji,Annual Growth Rate of Real GDP per Employed Person,–4.0,,2021,%,8.2.1,FIJ
Georgia,Annual Growth Rate of Real GDP per Employed Person,–0.8,,2021,%,8.2.1,GEO
"Hong Kong, China",Annual Growth Rate of Real GDP per Employed Person,6.5,,2021,%,8.2.1,HKG
India,Annual Growth Rate of Real GDP per Employed Person,4.1,,2021,%,8.2.1,IND
Indonesia,Annual Growth Rate of Real GDP per Employed Person,1.3,,2021,%,8.2.1,INO
Kazakhstan,Annual Growth Rate of Real GDP per Employed Person,2.4,,2021,%,8.2.1,KAZ
Kiribati,Annual Growth Rate of Real GDP per Employed Person,…,,2021,%,8.2.1,KIR
"Korea, Republic of",Annual Growth Rate of Real GDP per Employed Person,3.3,,2021,%,8.2.1,KOR
Kyrgyz Republic,Annual Growth Rate of Real GDP per Employed Person,–0.3,,2021,%,8.2.1,KGZ
Lao People's Democratic Republic,Annual Growth Rate of Real GDP per Employed Person,0.5,,2021,%,8.2.1,LAO
Malaysia,Annual Growth Rate of Real GDP per Employed Person,2.4,,2021,%,8.2.1,MAL
Maldives,Annual Growth Rate of Real GDP per Employed Person,17.2,,2021,%,8.2.1,MLD
Marshall Islands,Annual Growth Rate of Real GDP per Employed Person,…,,2021,%,8.2.1,RMI
"Micronesia, Federated States of",Annual Growth Rate of Real GDP per Employed Person,…,,2021,%,8.2.1,FSM
Mongolia,Annual Growth Rate of Real GDP per Employed Person,3.7,,2021,%,8.2.1,MON
Myanmar,Annual Growth Rate of Real GDP per Employed Person,–15.0,,2021,%,8.2.1,MYA
Nauru,Annual Growth Rate of Real GDP per Employed Person,…,,2021,%,8.2.1,NAU
Nepal,Annual Growth Rate of Real GDP per Employed Person,–3.6,,2021,%,8.2.1,NEP
Niue,Annual Growth Rate of Real GDP per Employed Person,…,,2021,%,8.2.1,NIU
Pakistan,Annual Growth Rate of Real GDP per Employed Person,1.2,,2021,%,8.2.1,PAK
Palau,Annual Growth Rate of Real GDP per Employed Person,…,,2021,%,8.2.1,PAL
Papua New Guinea,Annual Growth Rate of Real GDP per Employed Person,–0.9,,2021,%,8.2.1,PNG
Philippines,Annual Growth Rate of Real GDP per Employed Person,–1.3,,2021,%,8.2.1,PHI
Samoa,Annual Growth Rate of Real GDP per Employed Person,–7.3,,2021,%,8.2.1,SAM
Singapore,Annual Growth Rate of Real GDP per Employed Person,5.7,,2021,%,8.2.1,SIN
Solomon Islands,Annual Growth Rate of Real GDP per Employed Person,–1.5,,2021,%,8.2.1,SOL
Sri Lanka,Annual Growth Rate of Real GDP per Employed Person,2.1,,2021,%,8.2.1,SRI
"Taipei,China",Annual Growth Rate of Real GDP per Employed Person,5.7,,2021,%,8.2.1,TAP
Tajikistan,Annual Growth Rate of Real GDP per Employed Person,3.4,,2021,%,8.2.1,TAJ
Thailand,Annual Growth Rate of Real GDP per Employed Person,1.2,,2021,%,8.2.1,THA
Timor-Leste,Annual Growth Rate of Real GDP per Employed Person,–0.3,,2021,%,8.2.1,TIM
Tonga,Annual Growth Rate of Real GDP per Employed Person,–3.0,,2021,%,8.2.1,TON
Turkmenistan,Annual Growth Rate of Real GDP per Employed Person,3.5,,2021,%,8.2.1,TKM
Tuvalu,Annual Growth Rate of Real GDP per Employed Person,…,,2021,%,8.2.1,TUV
Uzbekistan,Annual Growth Rate of Real GDP per Employed Person,4.6,,2021,%,8.2.1,UZB
Vanuatu,Annual Growth Rate of Real GDP per Employed Person,–1.8,,2021,%,8.2.1,VAN
Viet Nam,Annual Growth Rate of Real GDP per Employed Person,3.1,,2021,%,8.2.1,VIE
Afghanistan,"Annual Real Growth Rates on Value Added, Agriculture",5.9,,2020,%,,AFG
Armenia,"Annual Real Growth Rates on Value Added, Agriculture",–1.4,,2021,%,,ARM
Azerbaijan,"Annual Real Growth Rates on Value Added, Agriculture",3.3,,2021,%,,AZE
Bangladesh,"Annual Real Growth Rates on Value Added, Agriculture",3.2,,2021,%,,BAN
Bhutan,"Annual Real Growth Rates on Value Added, Agriculture",3.6,,2021,%,,BHU
Brunei Darussalam,"Annual Real Growth Rates on Value Added, Agriculture",46.8,,2021,%,,BRU
Cambodia,"Annual Real Growth Rates on Value Added, Agriculture",1.1,,2021,%,,CAM
"China, People's Republic of","Annual Real Growth Rates on Value Added, Agriculture",7.1,,2021,%,,PRC
Cook Islands,"Annual Real Growth Rates on Value Added, Agriculture",–4.0,,2021,%,,COO
Fiji,"Annual Real Growth Rates on Value Added, Agriculture",–5.8,,2021,%,,FIJ
Georgia,"Annual Real Growth Rates on Value Added, Agriculture",–2.5,,2021,%,,GEO
"Hong Kong, China","Annual Real Growth Rates on Value Added, Agriculture",–3.0,,2021,%,,HKG
India,"Annual Real Growth Rates on Value Added, Agriculture",3.3,,2021,%,,IND
Indonesia,"Annual Real Growth Rates on Value Added, Agriculture",1.8,,2021,%,,INO
Kazakhstan,"Annual Real Growth Rates on Value Added, Agriculture",–2.4,,2021,%,,KAZ
Kiribati,"Annual Real Growth Rates on Value Added, Agriculture",–1.0,,2020,%,,KIR
"Korea, Republic of","Annual Real Growth Rates on Value Added, Agriculture",2.7,,2021,%,,KOR
Kyrgyz Republic,"Annual Real Growth Rates on Value Added, Agriculture",–5.0,,2021,%,,KGZ
Lao People's Democratic Republic,"Annual Real Growth Rates on Value Added, Agriculture",1.2,,2021,%,,LAO
Malaysia,"Annual Real Growth Rates on Value Added, Agriculture",–0.2,,2021,%,,MAL
Maldives,"Annual Real Growth Rates on Value Added, Agriculture",–4.9,,2021,%,,MLD
Marshall Islands,"Annual Real Growth Rates on Value Added, Agriculture",–0.6,,2021,%,,RMI
"Micronesia, Federated States of","Annual Real Growth Rates on Value Added, Agriculture",–1.0,,2021,%,,FSM
Mongolia,"Annual Real Growth Rates on Value Added, Agriculture",–5.5,,2021,%,,MON
Myanmar,"Annual Real Growth Rates on Value Added, Agriculture",0.8,,2021,%,,MYA
Nauru,"Annual Real Growth Rates on Value Added, Agriculture",5.2,,2015,%,,NAU
Nepal,"Annual Real Growth Rates on Value Added, Agriculture",2.4,,2021,%,,NEP
Niue,"Annual Real Growth Rates on Value Added, Agriculture",1.7,,2018,%,,NIU
Pakistan,"Annual Real Growth Rates on Value Added, Agriculture",3.5,,2021,%,,PAK
Palau,"Annual Real Growth Rates on Value Added, Agriculture",–4.2,,2019,%,,PAL
Papua New Guinea,"Annual Real Growth Rates on Value Added, Agriculture",3.7,,2021,%,,PNG
Philippines,"Annual Real Growth Rates on Value Added, Agriculture",–0.3,,2021,%,,PHI
Samoa,"Annual Real Growth Rates on Value Added, Agriculture",0.8,,2021,%,,SAM
Singapore,"Annual Real Growth Rates on Value Added, Agriculture",10.8,,2021,%,,SIN
Solomon Islands,"Annual Real Growth Rates on Value Added, Agriculture",–4.4,,2021,%,,SOL
Sri Lanka,"Annual Real Growth Rates on Value Added, Agriculture",2,,2021,%,,SRI
"Taipei,China","Annual Real Growth Rates on Value Added, Agriculture",–4.2,,2021,%,,TAP
Tajikistan,"Annual Real Growth Rates on Value Added, Agriculture",6.6,,2021,%,,TAJ
Thailand,"Annual Real Growth Rates on Value Added, Agriculture",1.4,,2021,%,,THA
Timor-Leste,"Annual Real Growth Rates on Value Added, Agriculture",1.8,,2021,%,,TIM
Tonga,"Annual Real Growth Rates on Value Added, Agriculture",–1.4,,2021,%,,TON
Turkmenistan,"Annual Real Growth Rates on Value Added, Agriculture",…,,2021,%,,TKM
Tuvalu,"Annual Real Growth Rates on Value Added, Agriculture",13.9,,2019,%,,TUV
Uzbekistan,"Annual Real Growth Rates on Value Added, Agriculture",4,,2021,%,,UZB
Vanuatu,"Annual Real Growth Rates on Value Added, Agriculture",2.8,,2021,%,,VAN
Viet Nam,"Annual Real Growth Rates on Value Added, Agriculture",2.9,,2021,%,,VIE
Afghanistan,"Annual Real Growth Rates on Value Added, Industry",–4.6,,2020,%,,AFG
Armenia,"Annual Real Growth Rates on Value Added, Industry",3.8,,2021,%,,ARM
Azerbaijan,"Annual Real Growth Rates on Value Added, Industry",2.8,,2021,%,,AZE
Bangladesh,"Annual Real Growth Rates on Value Added, Industry",10.3,,2021,%,,BAN
Bhutan,"Annual Real Growth Rates on Value Added, Industry",4.7,,2021,%,,BHU
Brunei Darussalam,"Annual Real Growth Rates on Value Added, Industry",–4.4,,2021,%,,BRU
Cambodia,"Annual Real Growth Rates on Value Added, Industry",7.4,,2021,%,,CAM
"China, People's Republic of","Annual Real Growth Rates on Value Added, Industry",8.2,,2021,%,,PRC
Cook Islands,"Annual Real Growth Rates on Value Added, Industry",–17.9,,2021,%,,COO
Fiji,"Annual Real Growth Rates on Value Added, Industry",2.4,,2021,%,,FIJ
Georgia,"Annual Real Growth Rates on Value Added, Industry",6.2,,2021,%,,GEO
"Hong Kong, China","Annual Real Growth Rates on Value Added, Industry",2,,2021,%,,HKG
India,"Annual Real Growth Rates on Value Added, Industry",10.3,,2021,%,,IND
Indonesia,"Annual Real Growth Rates on Value Added, Industry",3.4,,2021,%,,INO
Kazakhstan,"Annual Real Growth Rates on Value Added, Industry",4.5,,2021,%,,KAZ
Kiribati,"Annual Real Growth Rates on Value Added, Industry",–1.6,,2020,%,,KIR
"Korea, Republic of","Annual Real Growth Rates on Value Added, Industry",5,,2021,%,,KOR
Kyrgyz Republic,"Annual Real Growth Rates on Value Added, Industry",3.1,,2021,%,,KGZ
Lao People's Democratic Republic,"Annual Real Growth Rates on Value Added, Industry",4.4,,2021,%,,LAO
Malaysia,"Annual Real Growth Rates on Value Added, Industry",6,,2021,%,,MAL
Maldives,"Annual Real Growth Rates on Value Added, Industry",–1.0,,2021,%,,MLD
Marshall Islands,"Annual Real Growth Rates on Value Added, Industry",–10.9,,2021,%,,RMI
"Micronesia, Federated States of","Annual Real Growth Rates on Value Added, Industry",2,,2021,%,,FSM
Mongolia,"Annual Real Growth Rates on Value Added, Industry",–2.8,,2021,%,,MON
Myanmar,"Annual Real Growth Rates on Value Added, Industry",–20.9,,2021,%,,MYA
Nauru,"Annual Real Growth Rates on Value Added, Industry",–17.1,,2015,%,,NAU
Nepal,"Annual Real Growth Rates on Value Added, Industry",1.7,,2021,%,,NEP
Niue,"Annual Real Growth Rates on Value Added, Industry",90.4,,2018,%,,NIU
Pakistan,"Annual Real Growth Rates on Value Added, Industry",7.8,,2021,%,,PAK
Palau,"Annual Real Growth Rates on Value Added, Industry",5.9,,2019,%,,PAL
Papua New Guinea,"Annual Real Growth Rates on Value Added, Industry",–2.8,,2021,%,,PNG
Philippines,"Annual Real Growth Rates on Value Added, Industry",8.2,,2021,%,,PHI
Samoa,"Annual Real Growth Rates on Value Added, Industry",–10.3,,2021,%,,SAM
Singapore,"Annual Real Growth Rates on Value Added, Industry",13.4,,2021,%,,SIN
Solomon Islands,"Annual Real Growth Rates on Value Added, Industry",7.1,,2021,%,,SOL
Sri Lanka,"Annual Real Growth Rates on Value Added, Industry",5.3,,2021,%,,SRI
"Taipei,China","Annual Real Growth Rates on Value Added, Industry",12.9,,2021,%,,TAP
Tajikistan,"Annual Real Growth Rates on Value Added, Industry",22,,2021,%,,TAJ
Thailand,"Annual Real Growth Rates on Value Added, Industry",3.4,,2021,%,,THA
Timor-Leste,"Annual Real Growth Rates on Value Added, Industry",1.8,,2021,%,,TIM
Tonga,"Annual Real Growth Rates on Value Added, Industry",–5.3,,2021,%,,TON
Turkmenistan,"Annual Real Growth Rates on Value Added, Industry",…,,2021,%,,TKM
Tuvalu,"Annual Real Growth Rates on Value Added, Industry",5.6,,2019,%,,TUV
Uzbekistan,"Annual Real Growth Rates on Value Added, Industry",8.7,,2021,%,,UZB
Vanuatu,"Annual Real Growth Rates on Value Added, Industry",9.5,,2021,%,,VAN
Viet Nam,"Annual Real Growth Rates on Value Added, Industry",4,,2021,%,,VIE
Afghanistan,"Annual Real Growth Rates on Value Added, Services",–5.9,,2020,%,,AFG
Armenia,"Annual Real Growth Rates on Value Added, Services",6.8,,2021,%,,ARM
Azerbaijan,"Annual Real Growth Rates on Value Added, Services",7.8,,2021,%,,AZE
Bangladesh,"Annual Real Growth Rates on Value Added, Services",5.7,,2021,%,,BAN
Bhutan,"Annual Real Growth Rates on Value Added, Services",2.8,,2021,%,,BHU
Brunei Darussalam,"Annual Real Growth Rates on Value Added, Services",0.4,,2021,%,,BRU
Cambodia,"Annual Real Growth Rates on Value Added, Services",–0.4,,2021,%,,CAM
"China, People's Republic of","Annual Real Growth Rates on Value Added, Services",8.2,,2021,%,,PRC
Cook Islands,"Annual Real Growth Rates on Value Added, Services",–26.8,,2021,%,,COO
Fiji,"Annual Real Growth Rates on Value Added, Services",–2.6,,2021,%,,FIJ
Georgia,"Annual Real Growth Rates on Value Added, Services",14.5,,2021,%,,GEO
"Hong Kong, China","Annual Real Growth Rates on Value Added, Services",5.7,,2021,%,,HKG
India,"Annual Real Growth Rates on Value Added, Services",8.6,,2021,%,,IND
Indonesia,"Annual Real Growth Rates on Value Added, Services",3.6,,2021,%,,INO
Kazakhstan,"Annual Real Growth Rates on Value Added, Services",3.9,,2021,%,,KAZ
Kiribati,"Annual Real Growth Rates on Value Added, Services",2,,2020,%,,KIR
"Korea, Republic of","Annual Real Growth Rates on Value Added, Services",3.7,,2021,%,,KOR
Kyrgyz Republic,"Annual Real Growth Rates on Value Added, Services",6.5,,2021,%,,KGZ
Lao People's Democratic Republic,"Annual Real Growth Rates on Value Added, Services",0.4,,2021,%,,LAO
Malaysia,"Annual Real Growth Rates on Value Added, Services",1.9,,2021,%,,MAL
Maldives,"Annual Real Growth Rates on Value Added, Services",36.2,,2021,%,,MLD
Marshall Islands,"Annual Real Growth Rates on Value Added, Services",–2.9,,2021,%,,RMI
"Micronesia, Federated States of","Annual Real Growth Rates on Value Added, Services",–1.4,,2021,%,,FSM
Mongolia,"Annual Real Growth Rates on Value Added, Services",3.9,,2021,%,,MON
Myanmar,"Annual Real Growth Rates on Value Added, Services",–26.3,,2021,%,,MYA
Nauru,"Annual Real Growth Rates on Value Added, Services",11.6,,2015,%,,NAU
Nepal,"Annual Real Growth Rates on Value Added, Services",2.5,,2021,%,,NEP
Niue,"Annual Real Growth Rates on Value Added, Services",4.7,,2018,%,,NIU
Pakistan,"Annual Real Growth Rates on Value Added, Services",5.7,,2021,%,,PAK
Palau,"Annual Real Growth Rates on Value Added, Services",0.6,,2019,%,,PAL
Papua New Guinea,"Annual Real Growth Rates on Value Added, Services",2.7,,2021,%,,PNG
Philippines,"Annual Real Growth Rates on Value Added, Services",5.3,,2021,%,,PHI
Samoa,"Annual Real Growth Rates on Value Added, Services",–8.7,,2021,%,,SAM
Singapore,"Annual Real Growth Rates on Value Added, Services",5.2,,2021,%,,SIN
Solomon Islands,"Annual Real Growth Rates on Value Added, Services",–0.3,,2021,%,,SOL
Sri Lanka,"Annual Real Growth Rates on Value Added, Services",3,,2021,%,,SRI
"Taipei,China","Annual Real Growth Rates on Value Added, Services",2.7,,2021,%,,TAP
Tajikistan,"Annual Real Growth Rates on Value Added, Services",7.9,,2021,%,,TAJ
Thailand,"Annual Real Growth Rates on Value Added, Services",0.6,,2021,%,,THA
Timor-Leste,"Annual Real Growth Rates on Value Added, Services",1.8,,2021,%,,TIM
Tonga,"Annual Real Growth Rates on Value Added, Services",0.3,,2021,%,,TON
Turkmenistan,"Annual Real Growth Rates on Value Added, Services",…,,2021,%,,TKM
Tuvalu,"Annual Real Growth Rates on Value Added, Services",77,,2019,%,,TUV
Uzbekistan,"Annual Real Growth Rates on Value Added, Services",9.2,,2021,%,,UZB
Vanuatu,"Annual Real Growth Rates on Value Added, Services",–5.3,,2021,%,,VAN
Viet Nam,"Annual Real Growth Rates on Value Added, Services",1.2,,2021,%,,VIE
Afghanistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,63.6,,2016,?g/m3,11.6.2,AFG
Armenia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,45.5,,2016,?g/m3,11.6.2,ARM
Azerbaijan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,23.2,,2016,?g/m3,11.6.2,AZE
Bangladesh,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,64.1,,2016,?g/m3,11.6.2,BAN
Bhutan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,36.9,,2016,?g/m3,11.6.2,BHU
Brunei Darussalam,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,7.4,,2016,?g/m3,11.6.2,BRU
